2023-10-13 14:56:29,2023-10-14 09:32:18,2023-10-15 09:36:12,2023-10-16 09:34:25
15909641,APPLE 2021 맥북프로16 MK183KH/A M1 Max,"노트북 / 운영체제(OS): macOS Monterey /
화면정보 41.05cm(16.2인치) / 3456x2234 / 1000nit / 주사율: 120Hz /
CPU 애플(ARM) / 실리콘 M1 MAX / APL1104 / 10코어(8+2) /
램 램 용량: 32GB / 램 교체: 불가능 /
그래픽 내장그래픽 / M1 MAX 32 core /
저장장치 SSD / 512GB /
네트워크 무선랜: 802.11ax(Wi-Fi 6) /
영상입출력 HDMI / 웹캠(FHD) /
단자 썬더볼트4: 3개(USB-C겸용) / SD카드 /
부가기능 지문 인식 / 고속충전 / USB-PD / DP Alt Mode /
입력장치 키보드 라이트 / ㅗ형 방향키 /
파워 배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 /
주요제원 두께: 16.8mm / 무게: 2.2kg / 쿨링팬: 2개 / 색상: 그레이 / 16코어 Neural Engine / 최대 400GB / s 메모리 대역폭 / 미디어 엔진 (디코딩+2인코딩+2ProRes) / 노치형 디스플레이","32GB, SSD 512GB_3,931,560|64GB, SSD 512GB_4,575,550"
15463025,APPLE 2021 맥북프로16 MK1A3KH/A,0,"노트북 / 운영체제(OS): macOS Monterey /
화면정보 41.05cm(16.2인치) / 3456x2234 / 1000nit / 주사율: 120Hz /
CPU 애플(ARM) / 실리콘 M1 MAX / APL1104 / 10코어(8+2) /
램 램 용량: 32GB / 램 교체: 불가능 /
그래픽 내장그래픽 / M1 MAX 32 core /
저장장치 SSD / 1TB /
네트워크 무선랜: 802.11ax(Wi-Fi 6) /
영상입출력 HDMI / 웹캠(FHD) /
단자 썬더볼트4: 3개(USB-C겸용) / SD카드 /
부가기능 지문 인식 / 고속충전 / USB-PD / DP Alt Mode /
입력장치 키보드 라이트 / ㅗ형 방향키 /
파워 배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 /
주요제원 두께: 16.8mm / 무게: 2.2kg / 쿨링팬: 2개 / 색상: 그레이 / 16코어 Neural Engine / 최대 400GB / s 메모리 대역폭 / 미디어 엔진 (디코딩+2인코딩+2ProRes) / 노치형 디스플레이","32GB, SSD 1TB_3,607,510|영문, 32GB, SSD 1TB_4,044,150"
17203811,APPLE 2022 맥북에어13 MLXW3KH/A,"노트북 / 운영체제(OS): macOS Monterey /
화면정보 34.5cm(13.6인치) / 2560x1664 / 500nit /
CPU 애플(ARM) / 실리콘 M2 / 옥타코어(4+4) /
램 램 용량: 8GB / 램 교체: 불가능 /
그래픽 내장그래픽 / M2 8 core /
저장장치 SSD / 256GB /
네트워크 무선랜: 802.11ax(Wi-Fi 6) /
영상입출력 웹캠(FHD) /
단자 썬더볼트3: 2개(USB-C겸용) /
부가기능 지문 인식 / USB-PD / DP Alt Mode /
입력장치 키보드 라이트 / ㅗ형 방향키 /
파워 배터리: 52.6Wh / 어댑터: 30W / 충전단자: MagSafe 3 / 최대18시간 /
주요제원 두께: 11.3mm / 무게: 1.24kg / 쿨링팬: 없음(팬리스) / 색상: 그레이 / 4 스피커 사운드 시스템 / 16코어 Neural Engine / 100GB / s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이","8core GPU, 8GB, SSD 256GB_1,396,010|영문, 8core GPU, 8GB, SSD 256GB_1,474,090|35W, 8core GPU, 8GB, SSD 256GB_1,399,490|67W, 8core GPU, 8GB, SSD 256GB_1,649,010|8core GPU, 8GB, SSD 512GB_1,698,050|8core GPU, 8GB, SSD 1TB_2,177,000|8core GPU, 16GB, SSD 256GB_1,706,490|||||||"
17203856,APPLE 2022 맥북에어13 MLY03KH/A,"노트북 / 운영체제(OS): macOS Monterey /
화면정보 34.5cm(13.6인치) / 2560x1664 / 500nit /
CPU 애플(ARM) / 실리콘 M2 / 옥타코어(4+4) /
램 램 용량: 8GB / 램 교체: 불가능 /
그래픽 내장그래픽 / M2 10 core /
저장장치 SSD / 512GB /
네트워크 무선랜: 802.11ax(Wi-Fi 6) /
영상입출력 웹캠(FHD) /
단자 썬더볼트3: 2개(USB-C겸용) /
부가기능 지문 인식 / USB-PD / DP Alt Mode /
입력장치 키보드 라이트 / ㅗ형 방향키 /
파워 배터리: 52.6Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간 /
주요제원 두께: 11.3mm / 무게: 1.24kg / 쿨링팬: 없음(팬리스) / 색상: 실버 / 4 스피커 사운드 시스템 / 16코어 Neural Engine / 100GB / s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이","8GB, SSD 512GB_1,755,590|영문, 8GB, SSD 512GB_1,820,000|70W, 8GB, SSD 512GB_1,844,270|16GB, SSD 512GB_2,094,760|24GB, SSD 512GB_2,360,000"
17203826,APPLE 2022 맥북에어13 MLY33KH/A,"노트북 / 운영체제(OS): macOS Monterey /
화면정보 34.5cm(13.6인치) / 2560x1664 / 500nit /
CPU 애플(ARM) / 실리콘 M2 / 옥타코어(4+4) /
램 램 용량: 8GB / 램 교체: 불가능 /
그래픽 내장그래픽 / M2 8 core /
저장장치 SSD / 256GB /
네트워크 무선랜: 802.11ax(Wi-Fi 6) /
영상입출력 웹캠(FHD) /
단자 썬더볼트3: 2개(USB-C겸용) /
부가기능 지문 인식 / USB-PD / DP Alt Mode /
입력장치 키보드 라이트 / ㅗ형 방향키 /
파워 배터리: 52.6Wh / 어댑터: 30W / 충전단자: MagSafe 3 / 최대18시간 /
주요제원 두께: 11.3mm / 무게: 1.24kg / 쿨링팬: 없음(팬리스) / 색상: 미드나이트 / 4 스피커 사운드 시스템 / 16코어 Neural Engine / 100GB / s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이","8core GPU, 8GB, SSD 256GB_1,374,650|영문, 8core GPU, 8GB, SSD 256GB_1,374,650|35W, 8core GPU, 8GB, SSD 256GB_1,429,700|67W, 8core GPU, 8GB, SSD 256GB_1,412,320|8core GPU, 8GB, SSD 512GB_1,672,700|8core GPU, 8GB, SSD 1TB_일시품절|8core GPU, 16GB, SSD 256GB_1,674,000||||||"
17203937,APPLE 2022 맥북에어13 MLY43KH/A,"노트북 / 운영체제(OS): macOS Monterey /
화면정보 34.5cm(13.6인치) / 2560x1664 / 500nit /
CPU 애플(ARM) / 실리콘 M2 / 옥타코어(4+4) /
램 램 용량: 8GB / 램 교체: 불가능 /
그래픽 내장그래픽 / M2 10 core /
저장장치 SSD / 512GB /
네트워크 무선랜: 802.11ax(Wi-Fi 6) /
영상입출력 웹캠(FHD) /
단자 썬더볼트3: 2개(USB-C겸용) /
부가기능 지문 인식 / USB-PD / DP Alt Mode /
입력장치 키보드 라이트 / ㅗ형 방향키 /
파워 배터리: 52.6Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간 /
주요제원 두께: 11.3mm / 무게: 1.24kg / 쿨링팬: 없음(팬리스) / 색상: 미드나이트 / 4 스피커 사운드 시스템 / 16코어 Neural Engine / 100GB / s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이","8GB, SSD 512GB_1,713,790|영문, 8GB, SSD 512GB_1,713,800|67W, 8GB, SSD 512GB_1,713,800|16GB, SSD 512GB_2,101,800|24GB, SSD 512GB_2,253,800|16GB, SSD 1TB_2,629,000"
17204207,APPLE 2022 맥북프로13 MNEJ3KH/A,"노트북 / 운영체제(OS): macOS Monterey /
화면정보 33.7cm(13.3인치) / 2560x1600(WQXGA) / 500nit /
CPU 애플(ARM) / 실리콘 M2 / 옥타코어(4+4) /
램 램 용량: 8GB / 램 교체: 불가능 /
그래픽 내장그래픽 / M2 10 core /
저장장치 SSD / 512GB /
네트워크 무선랜: 802.11ax(Wi-Fi 6) /
영상입출력 웹캠(HD) /
단자 썬더볼트3: 2개(USB-C겸용) /
부가기능 지문 인식 / USB-PD / DP Alt Mode / 터치바 /
입력장치 키보드 라이트 / ㅗ형 방향키 /
파워 배터리: 58.2Wh / 어댑터: 67W / 충전단자: 타입C / 최대20시간 /
주요제원 두께: 15.6mm / 무게: 1.4kg / 쿨링팬: 1개 / 색상: 그레이 / 16코어 Neural Engine / 100GB / s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes)","8GB, SSD 512GB_1,730,390|16GB, SSD 512GB_2,088,190|24GB, SSD 512GB_2,358,190|16GB, SSD 1TB_2,358,190"
20477921,APPLE 2023 맥북에어15 MQKP3KH/A,"노트북 / 운영체제(OS): macOS Ventura /
화면정보 38.9cm(15.3인치) / 2880x1864 / 500nit /
CPU 애플(ARM) / 실리콘 M2 / 옥타코어(4+4) /
램 램 용량: 8GB / 램 교체: 불가능 /
그래픽 내장그래픽 / M2 10 core /
저장장치 SSD / 256GB /
네트워크 무선랜: 802.11ax(Wi-Fi 6) /
영상입출력 웹캠(FHD) /
단자 썬더볼트3: 2개(USB-C겸용) /
부가기능 지문 인식 / USB-PD / DP Alt Mode /
입력장치 키보드 라이트 / ㅗ형 방향키 /
파워 배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간 /
주요제원 두께: 11.5mm / 무게: 1.51kg / 쿨링팬: 없음(팬리스) / 색상: 그레이 / 6 스피커 사운드 시스템 / 16코어 Neural Engine / 100GB / s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이 / 외장 모니터 최대 1개 지원(6K / 60Hz)","8GB, SSD 256GB_1,729,910|영문, 8GB, SSD 256GB_1,890,000|16GB, SSD 256GB_2,008,800|영문, 16GB, SSD 256GB_일시품절"
20478209,APPLE 2023 맥북에어15 MQKQ3KH/A,"노트북 / 운영체제(OS): macOS Ventura /
화면정보 38.9cm(15.3인치) / 2880x1864 / 500nit /
CPU 애플(ARM) / 실리콘 M2 / 옥타코어(4+4) /
램 램 용량: 8GB / 램 교체: 불가능 /
그래픽 내장그래픽 / M2 10 core /
저장장치 SSD / 512GB /
네트워크 무선랜: 802.11ax(Wi-Fi 6) /
영상입출력 웹캠(FHD) /
단자 썬더볼트3: 2개(USB-C겸용) /
부가기능 지문 인식 / USB-PD / DP Alt Mode /
입력장치 키보드 라이트 / ㅗ형 방향키 /
파워 배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간 /
주요제원 두께: 11.5mm / 무게: 1.51kg / 쿨링팬: 없음(팬리스) / 색상: 그레이 / 6 스피커 사운드 시스템 / 16코어 Neural Engine / 100GB / s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이 / 외장 모니터 최대 1개 지원(6K / 60Hz)","8GB, SSD 512GB_2,030,390|16GB, SSD 512GB_2,320,000|16GB, SSD 1TB_2,590,000|24GB, SSD 512GB_2,590,000|24GB, SSD 1TB_2,862,000"
20477858,APPLE 2023 맥북에어15 MQKR3KH/A,"노트북 / 운영체제(OS): macOS Ventura /
화면정보 38.9cm(15.3인치) / 2880x1864 / 500nit /
CPU 애플(ARM) / 실리콘 M2 / 옥타코어(4+4) /
램 램 용량: 8GB / 램 교체: 불가능 /
그래픽 내장그래픽 / M2 10 core /
저장장치 SSD / 256GB /
네트워크 무선랜: 802.11ax(Wi-Fi 6) /
영상입출력 웹캠(FHD) /
단자 썬더볼트3: 2개(USB-C겸용) /
부가기능 지문 인식 / USB-PD / DP Alt Mode /
입력장치 키보드 라이트 / ㅗ형 방향키 /
파워 배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간 /
주요제원 두께: 11.5mm / 무게: 1.51kg / 쿨링팬: 없음(팬리스) / 색상: 실버 / 6 스피커 사운드 시스템 / 16코어 Neural Engine / 100GB / s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이 / 외장 모니터 최대 1개 지원(6K / 60Hz)","8GB, SSD 256GB_1,743,300|영문, 8GB, SSD 256GB_1,743,300|16GB, SSD 256GB_2,008,800|영문, 16GB, SSD 256GB_2,002,770"
